,original_id,sequence_length
79e75a9c5077e2c19f2faee1bf7e88fb,P11362,822
7f92278498a105fffa782a04873e8dd9,P16591,822
7e8ffaa24c4c9dbf3298fa9de914fb5a,Q16620,822
c1e8589e21da02f05e1a688a075debff,Q16288,839
82e1ef0871fe512226d2b7508b3f4dbe,P51957,841
3903a2d934c0919c723f55d618f9db14,Q9Y4K4,846
70ae0f4d12c76a65b6e0e49cee557282,Q16584,847
f3a0bdc4353e4ea4a196667871ac3d6d,P29376,864
84bb8714a4ef48c051962bddca849932,Q9BZL6,878
d0899c0e8db8e72a19abd172f5ad7f45,O94806,890
0e089d854429c19cf72237b0adf75fe5,Q06418,890
362e54774b909b6b783ca54be8166e47,P30530,894
59b5717aef295bfdaba454042788fe8c,Q15139,912
3c7cd7c9bc03665bd79e1c91b2e3349f,Q9H0K1,926
3493f966633c0810d7651f97b71543bf,Q16512,942
68890ebfbaef7a43297d6a7c4324f0fb,Q02779,954
2b7018a774a883c2c7404de9d40e9a42,O00444,970
8d988d2500c4f5a5b5e4062cdc2e0551,P07333,972
f753f2b2d9752a30646c83e8630d1df8,P10721,976
751c83ccaa7e8981affa3780720de9ec,P29317,976
8014f731ebb9cd8202f732ab6628d989,Q16513,984
861c0e725f3985dfafb5e602f3449b03,P54760,987
5d3aedc2cdcf7b145380ccd8e677b1fa,P36888,993
ecf54d89a60264a682a4dfc85a7ade07,Q12866,999
abeeffb4813a878cbfd9a08ddd6a7c16,Q7L7X3,1001
eff74a513866fff089a223c2f581c47b,Q14289,1009
1e6544f1539195eeda77573e594ae6bf,Q07912,1038
69f91a46a5356658458e344ea4a78bca,O00329,1044
90e48a696fe33eb2470b05009cc5d288,Q05397,1052
8499cbd3d88427da406f6feea6623e42,P29323,1055
57dfffeaf93feb9540374ed9ab20eaca,P42336,1068
c537c319ba44771c70857064839b3689,P42338,1070
312ca57791f95f6dc515db8edb69595a,P16234,1089
a09c33bf46654db6fad51846f9219e6c,P48736,1102
ff979336cee28cd90ab6bf1b580e1160,P80192,1104
364f9869f2761b926eb2723d24aa5fee,P09619,1106
975d8b611319eb0afd1b7f9439f12ab7,P07949,1114
298eb2b0a64ce9a00143db9fa208db71,P52333,1124
1409a6a3e2e73fd8d0d60e56f0585b8f,Q02763,1124
d24f1ea01ac4c8d96e75dd9550a0fb09,P00519,1130
06a47ffcc300b3340ae364cbdaf040be,O60674,1132
933420e3eac5be8b1760cde731133e4a,P23458,1154
4ec88a661c26c4267a606e83cb51d1b8,P42684,1182
281176f6331d962dc37690a120e0acd1,P29597,1187
ea23e433f5a0c6913d2c37946d4fbbd0,Q9H2X6,1198
99d03b567dbcdd7fb0dd21fb40d5d283,P00533,1210
6fdcf11fcf8d897c520438f44f03a3bb,Q9H2G2,1235
1311751483b76de5eb8afd2c065ce57d,O95819,1239
d89a90920775435179a0d5281a800f78,P04626,1255
427b0012f5464bdd5b2c4f015a5cb648,Q15303,1308
306a5f50d2ab1d0b3693279eab13c5a0,Q96RG2,1323
3f4809bd211de7e653155ffd55e867f6,Q8N4C8,1332
899418d99797aa41d4bc8cc50361b11e,P17948,1338
092461d2e13ad54ee72be3459cc73d02,Q13464,1354
3b93a11bc1683dc849a09618fb5af54b,P35968,1356
79f2c0e04d10d98c088cc5b5d495043c,P35916,1363
7319b21e0d5b3e8342fa71c29192f156,P08069,1367
49017c1dc95d13d5dd4af20ad30b764b,Q99683,1374
8eb04104be33f0a0cb376ed145e684ff,P06213,1382
cdac56f3fb25a24d9a7c1593498f04e2,O75116,1388
ee0753c4f68e188bddb0c66890beee23,P08581,1390
fc6a0ba2b38224e46ec7c739be097fd7,Q04912,1400
638c4a64d52d6951aeba1a615d93068f,Q9UM73,1620
5a53c289baff7c034c2a393fab940ce2,Q5VT25,1732
69f18bd2bccdc73111154f2d23b9e30a,P08922,2347
9881e7f1fbeb971605a72097fd1e8f74,Q5S007,2527
d3be1a657b7fdb5ab4c03e12d4452164,P42345,2549
3ae73b1e40be7731f70e786d57e691a4,P78527,4128
